"dt_evoluca","n.casos"
2020-04-05,3
2020-04-26,2
2020-06-14,1
2020-07-05,3
2020-07-12,1
2020-07-19,2
2020-07-26,4
2020-08-02,1
2020-08-09,3
2020-08-16,5
2020-08-23,1
2020-08-30,3
2020-09-06,5
2020-09-13,2
2020-09-20,7
2020-10-04,1
2020-10-11,3
2020-10-18,2
2020-11-01,1
2020-11-22,1
2020-12-06,1
2020-12-27,2
2021-01-03,1
2021-01-10,2
2021-01-31,2
2021-02-14,1
2021-02-21,3
2021-02-28,1
2021-03-14,9
2021-03-21,3
2021-03-28,3
2021-04-04,8
2021-04-11,4
2021-04-18,4
2021-04-25,5
2021-05-09,3
2021-05-23,1
2021-05-30,1
2021-06-06,5
2021-06-13,2
2021-06-20,1
2021-07-04,1
2021-07-18,1
2021-08-01,1
