"dt_evoluca","n.casos"
2020-03-29,1
2020-04-05,2
2020-04-12,5
2020-04-19,3
2020-04-26,5
2020-05-03,7
2020-05-10,5
2020-05-17,2
2020-05-24,5
2020-05-31,7
2020-06-07,5
2020-06-14,7
2020-06-21,13
2020-06-28,9
2020-07-05,14
2020-07-12,13
2020-07-19,13
2020-07-26,16
2020-08-02,13
2020-08-09,10
2020-08-16,7
2020-08-23,11
2020-08-30,5
2020-09-06,5
2020-09-13,9
2020-09-20,14
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,2
2020-10-25,3
2020-11-01,2
2020-11-08,1
2020-11-15,1
2020-11-22,2
2020-12-06,3
2020-12-13,6
2020-12-20,5
2020-12-27,1
2021-01-03,2
2021-01-10,5
2021-01-17,5
2021-01-24,3
2021-01-31,8
2021-02-07,10
2021-02-14,5
2021-02-21,5
2021-02-28,8
2021-03-07,19
2021-03-14,18
2021-03-21,26
2021-03-28,28
2021-04-04,21
2021-04-11,26
2021-04-18,26
2021-04-25,10
2021-05-02,12
2021-05-09,18
2021-05-16,16
2021-05-23,16
2021-05-30,9
2021-06-06,10
2021-06-13,18
2021-06-20,22
2021-06-27,15
2021-07-04,14
2021-07-11,5
2021-07-18,4
2021-07-25,7
2021-08-01,9
2021-08-08,4
2021-08-15,4
2021-08-22,11
2021-08-29,4
2021-09-05,4
2021-09-12,4
2021-09-26,1
2021-10-03,1
